                                     | Core 0    
  Instructions                       |  129502196
  Cycles                             |   67894793
  IPC                                |       1.91
  Time (ns)                          |   25524358
  Idle time (ns)                     |      20356
  Idle time (%)                      |       0.1%
Branch predictor stats               |           
  num correct                        |    9478752
  num incorrect                      |     777281
  misprediction rate                 |      7.58%
  mpki                               |       6.00
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |    9713379
    num misses                       |         13
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |   30307007
    num misses                       |     792624
    miss rate                        |      2.62%
    mpki                             |       6.12
  L2 TLB                             |           
    num accesses                     |     792637
    num misses                       |     598180
    miss rate                        |     75.47%
    mpki                             |       4.62
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |    9713379
    num cache misses                 |        909
    miss rate                        |      0.01%
    mpki                             |       0.01
  Cache L1-D                         |           
    num cache accesses               |   30307007
    num cache misses                 |    1191393
    miss rate                        |      3.93%
    mpki                             |       9.20
  Cache L2                           |           
    num cache accesses               |    1211946
    num cache misses                 |     598944
    miss rate                        |     49.42%
    mpki                             |       4.62
  Cache L3                           |           
    num cache accesses               |     618588
    num cache misses                 |     315630
    miss rate                        |     51.02%
    mpki                             |       2.44
DRAM summary                         |           
  num dram accesses                  |     502593
  average dram access latency (ns)   |     102.00
  average dram queueing delay        |      48.57
  average dram bandwidth utilization |     16.00%
Coherency Traffic                    |           
  num loads from dram                |     217486
  num loads from dram cache          |          0
  num loads from remote cache        |          0
