                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |    8142814 |    8115067 |    8114896 |    8114051 |    8113757 |    8115030 |    8114044 |    8114137 |    8117252 |    8116265 |    8117070 |    8114047 |    8114086 |    8115174 |    8115929 |    8113721
  Cycles                             |    4576351 |    4576351 |    4576351 |    4576351 |    4576351 |    4576351 |    4576351 |    4576351 |    4576351 |    4576351 |    4576351 |    4576351 |    4576351 |    4576351 |    4576351 |    4576351
  IPC                                |       1.78 |       1.77 |       1.77 |       1.77 |       1.77 |       1.77 |       1.77 |       1.77 |       1.77 |       1.77 |       1.77 |       1.77 |       1.77 |       1.77 |       1.77 |       1.77
  Time (ns)                          |    1720433 |    1720433 |    1720433 |    1720433 |    1720433 |    1720433 |    1720433 |    1720433 |    1720433 |    1720433 |    1720433 |    1720433 |    1720433 |    1720433 |    1720433 |    1720433
  Idle time (ns)                     |     215914 |     183152 |     154733 |     175549 |     133683 |     133874 |     184749 |     196287 |     129822 |     119990 |     134229 |     129886 |     125977 |     118591 |     112182 |     139970
  Idle time (%)                      |      12.5% |      10.6% |       9.0% |      10.2% |       7.8% |       7.8% |      10.7% |      11.4% |       7.5% |       7.0% |       7.8% |       7.5% |       7.3% |       6.9% |       6.5% |       8.1%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |     598883 |     595181 |     595147 |     595091 |     595011 |     595149 |     595083 |     595079 |     595447 |     595307 |     595409 |     595080 |     595069 |     595184 |     595276 |     595045
  num incorrect                      |      49024 |      48773 |      48775 |      48729 |      48742 |      48794 |      48733 |      48743 |      48812 |      48807 |      48814 |      48738 |      48761 |      48782 |      48788 |      48734
  misprediction rate                 |      7.57% |      7.57% |      7.57% |      7.57% |      7.57% |      7.58% |      7.57% |      7.57% |      7.58% |      7.58% |      7.58% |      7.57% |      7.57% |      7.58% |      7.58% |      7.57%
  mpki                               |       6.02 |       6.01 |       6.01 |       6.01 |       6.01 |       6.01 |       6.01 |       6.01 |       6.01 |       6.01 |       6.01 |       6.01 |       6.01 |       6.01 |       6.01 |       6.01
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |     612446 |     608383 |     608345 |     608274 |     608201 |     608386 |     608244 |     608254 |     608675 |     608537 |     608639 |     608225 |     608240 |     608383 |     608460 |     608183
    num misses                       |         37 |         39 |         39 |         32 |         33 |         39 |         31 |         32 |         38 |         39 |         39 |         31 |         31 |         39 |         39 |         33
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    1911721 |    1898350 |    1898281 |    1897969 |    1897801 |    1898291 |    1897934 |    1897968 |    1899184 |    1898792 |    1899104 |    1897934 |    1897942 |    1898375 |    1898680 |    1897833
    num misses                       |       3951 |       3820 |       3845 |       3831 |       3886 |       3833 |       3835 |       3813 |       3895 |       3847 |       3888 |       3810 |       3861 |       3837 |       3825 |       3795
    miss rate                        |      0.21% |      0.20% |      0.20% |      0.20% |      0.20% |      0.20% |      0.20% |      0.20% |      0.21% |      0.20% |      0.20% |      0.20% |      0.20% |      0.20% |      0.20% |      0.20%
    mpki                             |       0.49 |       0.47 |       0.47 |       0.47 |       0.48 |       0.47 |       0.47 |       0.47 |       0.48 |       0.47 |       0.48 |       0.47 |       0.48 |       0.47 |       0.47 |       0.47
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |       3988 |       3859 |       3884 |       3863 |       3919 |       3872 |       3866 |       3845 |       3933 |       3886 |       3927 |       3841 |       3892 |       3876 |       3864 |       3828
    num misses                       |       2059 |       1983 |       2002 |       1981 |       1960 |       2002 |       1947 |       1964 |       2001 |       1991 |       1992 |       1956 |       1953 |       1990 |       1999 |       1983
    miss rate                        |     51.63% |     51.39% |     51.54% |     51.28% |     50.01% |     51.70% |     50.36% |     51.08% |     50.88% |     51.24% |     50.73% |     50.92% |     50.18% |     51.34% |     51.73% |     51.80%
    mpki                             |       0.25 |       0.24 |       0.25 |       0.24 |       0.24 |       0.25 |       0.24 |       0.24 |       0.25 |       0.25 |       0.25 |       0.24 |       0.24 |       0.25 |       0.25 |       0.24
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     612446 |     608383 |     608345 |     608274 |     608201 |     608386 |     608244 |     608254 |     608675 |     608537 |     608639 |     608225 |     608240 |     608383 |     608460 |     608183
    num cache misses                 |        584 |        477 |        469 |        430 |        458 |        491 |        420 |        425 |        478 |        470 |        487 |        423 |        429 |        481 |        465 |        431
    miss rate                        |      0.10% |      0.08% |      0.08% |      0.07% |      0.08% |      0.08% |      0.07% |      0.07% |      0.08% |      0.08% |      0.08% |      0.07% |      0.07% |      0.08% |      0.08% |      0.07%
    mpki                             |       0.07 |       0.06 |       0.06 |       0.05 |       0.06 |       0.06 |       0.05 |       0.05 |       0.06 |       0.06 |       0.06 |       0.05 |       0.05 |       0.06 |       0.06 |       0.05
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    1911721 |    1898350 |    1898281 |    1897969 |    1897801 |    1898291 |    1897934 |    1897968 |    1899184 |    1898792 |    1899104 |    1897934 |    1897942 |    1898375 |    1898680 |    1897833
    num cache misses                 |      38850 |      38482 |      38417 |      38442 |      38394 |      38481 |      38417 |      38420 |      38568 |      38598 |      38593 |      38447 |      38427 |      38419 |      38426 |      38512
    miss rate                        |      2.03% |      2.03% |      2.02% |      2.03% |      2.02% |      2.03% |      2.02% |      2.02% |      2.03% |      2.03% |      2.03% |      2.03% |      2.02% |      2.02% |      2.02% |      2.03%
    mpki                             |       4.77 |       4.74 |       4.73 |       4.74 |       4.73 |       4.74 |       4.73 |       4.73 |       4.75 |       4.76 |       4.75 |       4.74 |       4.74 |       4.73 |       4.73 |       4.75
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      39739 |      39302 |      39510 |      38887 |      38866 |      38988 |      38853 |      38913 |      39065 |      39092 |      39096 |      38882 |      38873 |      38915 |      38909 |      38961
    num cache misses                 |      36622 |      36020 |      35976 |      35967 |      35927 |      36082 |      35924 |      35916 |      36141 |      36131 |      36153 |      35950 |      35960 |      35978 |      35997 |      36053
    miss rate                        |     92.16% |     91.65% |     91.06% |     92.49% |     92.44% |     92.55% |     92.46% |     92.30% |     92.52% |     92.43% |     92.47% |     92.46% |     92.51% |     92.45% |     92.52% |     92.54%
    mpki                             |       4.50 |       4.44 |       4.43 |       4.43 |       4.43 |       4.45 |       4.43 |       4.43 |       4.45 |       4.45 |       4.45 |       4.43 |       4.43 |       4.43 |       4.44 |       4.44
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      36927 |      36363 |      36599 |      35981 |      35941 |      36098 |      35940 |      35984 |      36160 |      36155 |      36169 |      35962 |      35977 |      35993 |      36015 |      36071
    num cache misses                 |      12189 |      14067 |      13773 |      15130 |      22117 |      22241 |      22147 |      22382 |      22206 |      22172 |      22314 |      22160 |      22111 |      22214 |      22350 |      22123
    miss rate                        |     33.01% |     38.68% |     37.63% |     42.05% |     61.54% |     61.61% |     61.62% |     62.20% |     61.41% |     61.32% |     61.69% |     61.62% |     61.46% |     61.72% |     62.06% |     61.33%
    mpki                             |       1.50 |       1.73 |       1.70 |       1.86 |       2.73 |       2.74 |       2.73 |       2.76 |       2.74 |       2.73 |       2.75 |       2.73 |       2.73 |       2.74 |       2.75 |       2.73
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |      33132 |          0 |          0 |          0 |      32979 |          0 |          0 |          0 |      33005 |          0 |          0 |          0 |      32851 |          0 |          0 |          0
