                                     | Core 0     | Core 1    
  Instructions                       |   64767737 |   64767748
  Cycles                             |   38242177 |   38242177
  IPC                                |       1.69 |       1.69
  Time (ns)                          |   14376758 |   14376758
  Idle time (ns)                     |     167660 |     107697
  Idle time (%)                      |       1.2% |       0.7%
Branch predictor stats               |            |           
  num correct                        |    4741477 |    4741463
  num incorrect                      |     388901 |     388864
  misprediction rate                 |      7.58% |      7.58%
  mpki                               |       6.00 |       6.00
TLB Summary                          |            |           
  I-TLB                              |            |           
    num accesses                     |    4858003 |    4858182
    num misses                       |         38 |         40
    miss rate                        |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00
  D-TLB                              |            |           
    num accesses                     |   15157922 |   15157750
    num misses                       |     390950 |     390972
    miss rate                        |      2.58% |      2.58%
    mpki                             |       6.04 |       6.04
  L2 TLB                             |            |           
    num accesses                     |     390988 |     391012
    num misses                       |     122847 |     122877
    miss rate                        |     31.42% |     31.43%
    mpki                             |       1.90 |       1.90
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |    4858003 |    4858182
    num cache misses                 |        782 |        777
    miss rate                        |      0.02% |      0.02%
    mpki                             |       0.01 |       0.01
  Cache L1-D                         |            |           
    num cache accesses               |   15157922 |   15157750
    num cache misses                 |     303040 |     303391
    miss rate                        |      2.00% |      2.00%
    mpki                             |       4.68 |       4.68
  Cache L2                           |            |           
    num cache accesses               |     318762 |     310286
    num cache misses                 |     301270 |     301171
    miss rate                        |     94.51% |     97.06%
    mpki                             |       4.65 |       4.65
  Cache L3                           |            |           
    num cache accesses               |     316210 |     307289
    num cache misses                 |     146086 |     159838
    miss rate                        |     46.20% |     52.02%
    mpki                             |       2.26 |       2.47
DRAM summary                         |            |           
  num dram accesses                  |     495879 |          0
  average dram access latency (ns)   |    5195.10 |        inf
  average dram queueing delay        |    5141.68 |       0.00
  average dram bandwidth utilization |     29.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |     114883 |     106278
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
