                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31   
  Instructions                       |    4125236 |    4071852 |    4070831 |    4069856 |    4070058 |    4068942 |    4068867 |    4070973 |    4070889 |    4070963 |    4069917 |    4069991 |    4068921 |    4068878 |    4071043 |    4071879 |    4068901 |    4068891 |    4068685 |    4068923 |    4068747 |    4068868 |    4068915 |    4068868 |    4069763 |    4068880 |    4070044 |    4069885 |    4069916 |    4068928 |    4068851 |    4068614
  Cycles                             |    2899383 |    2899383 |    2899383 |    2899383 |    2899383 |    2899383 |    2899383 |    2899383 |    2899383 |    2899383 |    2899383 |    2899383 |    2899383 |    2899383 |    2899383 |    2899383 |    2899383 |    2899383 |    2899383 |    2899383 |    2899383 |    2899383 |    2899383 |    2899383 |    2899383 |    2899383 |    2899383 |    2899383 |    2899383 |    2899383 |    2899383 |    2899383
  IPC                                |       1.42 |       1.40 |       1.40 |       1.40 |       1.40 |       1.40 |       1.40 |       1.40 |       1.40 |       1.40 |       1.40 |       1.40 |       1.40 |       1.40 |       1.40 |       1.40 |       1.40 |       1.40 |       1.40 |       1.40 |       1.40 |       1.40 |       1.40 |       1.40 |       1.40 |       1.40 |       1.40 |       1.40 |       1.40 |       1.40 |       1.40 |       1.40
  Time (ns)                          |    1089994 |    1089994 |    1089994 |    1089994 |    1089994 |    1089994 |    1089994 |    1089994 |    1089994 |    1089994 |    1089994 |    1089994 |    1089994 |    1089994 |    1089994 |    1089994 |    1089994 |    1089994 |    1089994 |    1089994 |    1089994 |    1089994 |    1089994 |    1089994 |    1089994 |    1089994 |    1089994 |    1089994 |    1089994 |    1089994 |    1089994 |    1089994
  Idle time (ns)                     |     349768 |     121137 |     127204 |     146136 |     131861 |     122304 |     108552 |     109607 |      99133 |      89746 |     110845 |     117324 |      89369 |      95788 |      94260 |     113783 |     125122 |     112321 |     111960 |     129450 |      95550 |     121114 |      95794 |     117544 |      83476 |     130593 |      80724 |     131449 |      89464 |     121104 |     115139 |     111334
  Idle time (%)                      |      32.1% |      11.1% |      11.7% |      13.4% |      12.1% |      11.2% |      10.0% |      10.1% |       9.1% |       8.2% |      10.2% |      10.8% |       8.2% |       8.8% |       8.6% |      10.4% |      11.5% |      10.3% |      10.3% |      11.9% |       8.8% |      11.1% |       8.8% |      10.8% |       7.7% |      12.0% |       7.4% |      12.1% |       8.2% |      11.1% |      10.6% |      10.2%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |     306838 |     299398 |     299300 |     299193 |     299199 |     299085 |     299077 |     299317 |     299303 |     299302 |     299182 |     299191 |     299075 |     299078 |     299324 |     299400 |     299079 |     299075 |     299037 |     299073 |     299044 |     299072 |     299080 |     299077 |     299126 |     299079 |     299194 |     299183 |     299184 |     299082 |     299073 |     299045
  num incorrect                      |      24739 |      24522 |      24496 |      24469 |      24482 |      24443 |      24447 |      24496 |      24498 |      24509 |      24484 |      24484 |      24452 |      24445 |      24496 |      24522 |      24448 |      24451 |      24453 |      24453 |      24449 |      24449 |      24448 |      24445 |      24494 |      24444 |      24485 |      24481 |      24483 |      24452 |      24451 |      24448
  misprediction rate                 |      7.46% |      7.57% |      7.57% |      7.56% |      7.56% |      7.56% |      7.56% |      7.56% |      7.57% |      7.57% |      7.56% |      7.56% |      7.56% |      7.56% |      7.56% |      7.57% |      7.56% |      7.56% |      7.56% |      7.56% |      7.56% |      7.56% |      7.56% |      7.56% |      7.57% |      7.56% |      7.56% |      7.56% |      7.56% |      7.56% |      7.56% |      7.56%
  mpki                               |       6.00 |       6.02 |       6.02 |       6.01 |       6.02 |       6.01 |       6.01 |       6.02 |       6.02 |       6.02 |       6.02 |       6.02 |       6.01 |       6.01 |       6.02 |       6.02 |       6.01 |       6.01 |       6.01 |       6.01 |       6.01 |       6.01 |       6.01 |       6.01 |       6.02 |       6.01 |       6.02 |       6.02 |       6.02 |       6.01 |       6.01 |       6.01
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |     313405 |     305296 |     305140 |     305049 |     305068 |     304905 |     304896 |     305181 |     305150 |     305164 |     305018 |     305034 |     304877 |     304867 |     305164 |     305264 |     304866 |     304854 |     304817 |     304851 |     304819 |     304844 |     304843 |     304839 |     304955 |     304829 |     304997 |     304962 |     304973 |     304837 |     304823 |     304791
    num misses                       |         37 |         39 |         38 |         39 |         38 |         31 |         31 |         38 |         38 |         38 |         38 |         38 |         31 |         31 |         38 |         39 |         31 |         31 |         33 |         31 |         32 |         31 |         31 |         31 |         39 |         31 |         38 |         38 |         38 |         31 |         31 |         33
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |     979211 |     952622 |     952255 |     951887 |     951899 |     951478 |     951442 |     952265 |     952255 |     952278 |     951869 |     951866 |     951464 |     951452 |     952298 |     952620 |     951455 |     951456 |     951365 |     951471 |     951394 |     951444 |     951467 |     951443 |     951765 |     951451 |     951889 |     951854 |     951852 |     951461 |     951433 |     951377
    num misses                       |       2015 |       1836 |       1827 |       1822 |       1816 |       1791 |       1791 |       1811 |       1806 |       1805 |       1806 |       1807 |       1788 |       1787 |       1816 |       1821 |       1799 |       1801 |       1797 |       1798 |       1794 |       1793 |       1786 |       1789 |       1805 |       1784 |       1805 |       1810 |       1808 |       1790 |       1799 |       1797
