                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31    | Core 32    | Core 33    | Core 34    | Core 35    | Core 36    | Core 37    | Core 38    | Core 39    | Core 40    | Core 41    | Core 42    | Core 43    | Core 44    | Core 45    | Core 46    | Core 47    | Core 48    | Core 49    | Core 50    | Core 51    | Core 52    | Core 53    | Core 54    | Core 55    | Core 56    | Core 57    | Core 58    | Core 59    | Core 60    | Core 61    | Core 62    | Core 63   
  Instructions                       |    2159831 |    2050453 |    2052493 |    2051523 |    2050514 |    2049410 |    2050512 |    2050550 |    2050376 |    2051397 |    2051536 |    2050482 |    2051515 |    2049238 |    2051538 |    2050360 |    2049373 |    2049364 |    2050475 |    2050489 |    2050531 |    2050404 |    2050526 |    2050390 |    2049373 |    2050496 |    2050402 |    2050383 |    2050489 |    2050559 |    2050385 |    2050471 |    2049424 |    2050409 |    2049393 |    2050556 |    2049366 |    2049391 |    2049283 |    2050549 |    2049389 |    2049395 |    2049416 |    2049332 |    2049480 |    2049389 |    2050517 |    2049374 |    2050455 |    2049389 |    2050509 |    2050526 |    2050510 |    2050469 |    2049292 |    2050392 |    2050534 |    2050399 |    2049389 |    2049396 |    2050416 |    2049208 |    2049242 |    2049380
  Cycles                             |    4486073 |    4486073 |    4486073 |    4486073 |    4486073 |    4486073 |    4486073 |    4486073 |    4486073 |    4486073 |    4486073 |    4486073 |    4486073 |    4486073 |    4486073 |    4486073 |    4486073 |    4486073 |    4486073 |    4486073 |    4486073 |    4486073 |    4486073 |    4486073 |    4486073 |    4486073 |    4486073 |    4486073 |    4486073 |    4486073 |    4486073 |    4486073 |    4486073 |    4486073 |    4486073 |    4486073 |    4486073 |    4486073 |    4486073 |    4486073 |    4486073 |    4486073 |    4486073 |    4486073 |    4486073 |    4486073 |    4486073 |    4486073 |    4486073 |    4486073 |    4486073 |    4486073 |    4486073 |    4486073 |    4486073 |    4486073 |    4486073 |    4486073 |    4486073 |    4486073 |    4486073 |    4486073 |    4486073 |    4486073
  IPC                                |       0.48 |       0.46 |       0.46 |       0.46 |       0.46 |       0.46 |       0.46 |       0.46 |       0.46 |       0.46 |       0.46 |       0.46 |       0.46 |       0.46 |       0.46 |       0.46 |       0.46 |       0.46 |       0.46 |       0.46 |       0.46 |       0.46 |       0.46 |       0.46 |       0.46 |       0.46 |       0.46 |       0.46 |       0.46 |       0.46 |       0.46 |       0.46 |       0.46 |       0.46 |       0.46 |       0.46 |       0.46 |       0.46 |       0.46 |       0.46 |       0.46 |       0.46 |       0.46 |       0.46 |       0.46 |       0.46 |       0.46 |       0.46 |       0.46 |       0.46 |       0.46 |       0.46 |       0.46 |       0.46 |       0.46 |       0.46 |       0.46 |       0.46 |       0.46 |       0.46 |       0.46 |       0.46 |       0.46 |       0.46
  Time (ns)                          |    1686494 |    1686494 |    1686494 |    1686494 |    1686494 |    1686494 |    1686494 |    1686494 |    1686494 |    1686494 |    1686494 |    1686494 |    1686494 |    1686494 |    1686494 |    1686494 |    1686494 |    1686494 |    1686494 |    1686494 |    1686494 |    1686494 |    1686494 |    1686494 |    1686494 |    1686494 |    1686494 |    1686494 |    1686494 |    1686494 |    1686494 |    1686494 |    1686494 |    1686494 |    1686494 |    1686494 |    1686494 |    1686494 |    1686494 |    1686494 |    1686494 |    1686494 |    1686494 |    1686494 |    1686494 |    1686494 |    1686494 |    1686494 |    1686494 |    1686494 |    1686494 |    1686494 |    1686494 |    1686494 |    1686494 |    1686494 |    1686494 |    1686494 |    1686494 |    1686494 |    1686494 |    1686494 |    1686494 |    1686494
  Idle time (ns)                     |    1290824 |     238271 |     230411 |     240138 |     191452 |     180813 |     223022 |     182926 |     229069 |     220338 |     233918 |     224943 |     226273 |     219629 |     221583 |     179773 |     214954 |     218322 |     176692 |     181521 |     265461 |     224801 |     279429 |     243055 |     270395 |     221913 |     284731 |     228783 |     243695 |     277415 |     276189 |     269754 |     255290 |     225174 |     161198 |     178969 |     199858 |     207870 |     177984 |     173845 |     222402 |     225689 |     188446 |     184277 |     235544 |     212878 |     176922 |     178519 |     220609 |     222622 |     177004 |     176851 |     189874 |     209059 |     183131 |     175216 |     226487 |     217343 |     175426 |     184313 |     195262 |     218920 |     185237 |     183038
  Idle time (%)                      |      76.5% |      14.1% |      13.7% |      14.2% |      11.4% |      10.7% |      13.2% |      10.8% |      13.6% |      13.1% |      13.9% |      13.3% |      13.4% |      13.0% |      13.1% |      10.7% |      12.7% |      12.9% |      10.5% |      10.8% |      15.7% |      13.3% |      16.6% |      14.4% |      16.0% |      13.2% |      16.9% |      13.6% |      14.4% |      16.4% |      16.4% |      16.0% |      15.1% |      13.4% |       9.6% |      10.6% |      11.9% |      12.3% |      10.6% |      10.3% |      13.2% |      13.4% |      11.2% |      10.9% |      14.0% |      12.6% |      10.5% |      10.6% |      13.1% |      13.2% |      10.5% |      10.5% |      11.3% |      12.4% |      10.9% |      10.4% |      13.4% |      12.9% |      10.4% |      10.9% |      11.6% |      13.0% |      11.0% |      10.9%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |     166873 |     151523 |     151779 |     151681 |     151532 |     151402 |     151528 |     151529 |     151524 |     151621 |     151658 |     151542 |     151662 |     151367 |     151660 |     151520 |     151402 |     151401 |     151539 |     151530 |     151530 |     151526 |     151530 |     151522 |     151402 |     151527 |     151522 |     151523 |     151530 |     151533 |     151519 |     151536 |     151400 |     151525 |     151404 |     151539 |     151403 |     151401 |     151370 |     151537 |     151399 |     151405 |     151403 |     151401 |     151412 |     151404 |     151532 |     151398 |     151537 |     151401 |     151529 |     151530 |     151530 |     151533 |     151371 |     151518 |     151531 |     151522 |     151401 |     151400 |     151525 |     151359 |     151364 |     151404
  num incorrect                      |      12692 |      12357 |      12383 |      12356 |      12356 |      12338 |      12363 |      12366 |      12350 |      12384 |      12377 |      12348 |      12366 |      12338 |      12373 |      12357 |      12332 |      12338 |      12351 |      12356 |      12365 |      12353 |      12362 |      12356 |      12332 |      12360 |      12359 |      12352 |      12358 |      12364 |      12359 |      12354 |      12342 |      12354 |      12334 |      12359 |      12330 |      12342 |      12345 |      12360 |      12339 |      12333 |      12338 |      12332 |      12339 |      12334 |      12359 |      12342 |      12349 |      12337 |      12362 |      12362 |      12362 |      12353 |      12340 |      12361 |      12364 |      12357 |      12337 |      12339 |      12355 |      12348 |      12347 |      12335
  misprediction rate                 |      7.07% |      7.54% |      7.54% |      7.53% |      7.54% |      7.54% |      7.54% |      7.55% |      7.54% |      7.55% |      7.55% |      7.53% |      7.54% |      7.54% |      7.54% |      7.54% |      7.53% |      7.54% |      7.54% |      7.54% |      7.54% |      7.54% |      7.54% |      7.54% |      7.53% |      7.54% |      7.54% |      7.54% |      7.54% |      7.54% |      7.54% |      7.54% |      7.54% |      7.54% |      7.53% |      7.54% |      7.53% |      7.54% |      7.54% |      7.54% |      7.54% |      7.53% |      7.54% |      7.53% |      7.54% |      7.53% |      7.54% |      7.54% |      7.54% |      7.53% |      7.54% |      7.54% |      7.54% |      7.54% |      7.54% |      7.54% |      7.54% |      7.54% |      7.53% |      7.54% |      7.54% |      7.54% |      7.54% |      7.53%
