                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |   16221290 |   16207150 |   16206829 |   16206215 |   16209085 |   16209325 |   16206128 |   16207373
  Cycles                             |    9003485 |    9003485 |    9003485 |    9003485 |    9003485 |    9003485 |    9003485 |    9003485
  IPC                                |       1.80 |       1.80 |       1.80 |       1.80 |       1.80 |       1.80 |       1.80 |       1.80
  Time (ns)                          |    3384769 |    3384769 |    3384769 |    3384769 |    3384769 |    3384769 |    3384769 |    3384769
  Idle time (ns)                     |     123773 |     159704 |     148003 |     215074 |     165702 |     143749 |      95459 |     100671
  Idle time (%)                      |       3.7% |       4.7% |       4.4% |       6.4% |       4.9% |       4.2% |       2.8% |       3.0%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |    1189203 |    1187363 |    1187326 |    1187304 |    1187572 |    1187623 |    1187259 |    1187390
  num incorrect                      |      97544 |      97361 |      97347 |      97303 |      97397 |      97391 |      97320 |      97369
  misprediction rate                 |      7.58% |      7.58% |      7.58% |      7.57% |      7.58% |      7.58% |      7.58% |      7.58%
  mpki                               |       6.01 |       6.01 |       6.01 |       6.00 |       6.01 |       6.01 |       6.01 |       6.01
TLB Summary                          |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |    1217240 |    1215333 |    1215286 |    1215237 |    1215598 |    1215640 |    1215196 |    1215368
    num misses                       |         36 |         39 |         41 |         32 |         40 |         40 |         32 |         39
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |    3798577 |    3792061 |    3791982 |    3791727 |    3792786 |    3792898 |    3791644 |    3792143
    num misses                       |      72228 |      72001 |      72154 |      72151 |      72070 |      72016 |      72130 |      72066
    miss rate                        |      1.90% |      1.90% |      1.90% |      1.90% |      1.90% |      1.90% |      1.90% |      1.90%
    mpki                             |       4.45 |       4.44 |       4.45 |       4.45 |       4.45 |       4.44 |       4.45 |       4.45
  L2 TLB                             |            |            |            |            |            |            |            |           
    num accesses                     |      72264 |      72040 |      72195 |      72183 |      72110 |      72056 |      72162 |      72105
    num misses                       |       2491 |       2472 |       2461 |       2438 |       2461 |       2469 |       2429 |       2459
    miss rate                        |      3.45% |      3.43% |      3.41% |      3.38% |      3.41% |      3.43% |      3.37% |      3.41%
    mpki                             |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |    1217240 |    1215333 |    1215286 |    1215237 |    1215598 |    1215640 |    1215196 |    1215368
    num cache misses                 |        615 |        505 |        517 |        474 |        535 |        539 |        455 |        525
    miss rate                        |      0.05% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04%
    mpki                             |       0.04 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |    3798577 |    3792061 |    3791982 |    3791727 |    3792786 |    3792898 |    3791644 |    3792143
    num cache misses                 |      76082 |      75843 |      75893 |      75840 |      75898 |      75842 |      75742 |      75874
    miss rate                        |      2.00% |      2.00% |      2.00% |      2.00% |      2.00% |      2.00% |      2.00% |      2.00%
    mpki                             |       4.69 |       4.68 |       4.68 |       4.68 |       4.68 |       4.68 |       4.67 |       4.68
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |      76991 |      76824 |      76902 |      76403 |      76667 |      76515 |      76257 |      76497
    num cache misses                 |      74772 |      74317 |      74380 |      74310 |      74435 |      74335 |      74139 |      74337
    miss rate                        |     97.12% |     96.74% |     96.72% |     97.26% |     97.09% |     97.15% |     97.22% |     97.18%
    mpki                             |       4.61 |       4.59 |       4.59 |       4.59 |       4.59 |       4.59 |       4.57 |       4.59
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |      75066 |      74793 |      74872 |      74399 |      74669 |      74469 |      74199 |      74435
    num cache misses                 |      27086 |      24799 |      24799 |      26724 |      37911 |      37898 |      37542 |      37560
    miss rate                        |     36.08% |     33.16% |     33.12% |     35.92% |     50.77% |     50.89% |     50.60% |     50.46%
    mpki                             |       1.67 |       1.53 |       1.53 |       1.65 |       2.34 |       2.34 |       2.32 |       2.32
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |      83607 |          0 |          0 |          0 |      83410 |          0 |          0 |          0
  average dram access latency (ns)   |    3330.72 |        inf |        inf |        inf |    3520.28 |        inf |        inf |        inf
  average dram queueing delay        |    3277.29 |       0.00 |       0.00 |       0.00 |    3466.85 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     20.00% |      0.00% |      0.00% |      0.00% |     20.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |       7640 |       6024 |       6368 |       7353 |       5302 |       5521 |       5878 |       4372
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       8245 |       8209 |       8209 |       8229 |      19916 |      19590 |      18971 |      20701
